# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56372.62948026	0.23836037	1.014280	0.000213	1.033962	0.000241	1.014908	0.000213
56372.64991411	0.24775554	1.005537	0.000214	1.024062	0.000243	1.006157	0.000214
56372.67034795	0.25715071	1.015027	0.000214	1.034678	0.000243	1.015649	0.000214
56372.69078179	0.26654588	1.011733	0.000214	1.031202	0.000243	1.012350	0.000214
56372.71121563	0.27594104	1.011690	0.000214	1.031002	0.000242	1.012304	0.000214
56372.73164958	0.28533626	1.015902	0.000213	1.035827	0.000242	1.016515	0.000214
56372.75208332	0.29473138	1.008874	0.000213	1.027961	0.000242	1.009480	0.000213
56372.77251716	0.30412654	1.012486	0.000213	1.031949	0.000242	1.013090	0.000213
56372.79295111	0.31352176	1.010063	0.000213	1.029175	0.000242	1.010663	0.000213
56372.81338485	0.32291688	1.007796	0.000213	1.026688	0.000242	1.008391	0.000213
56372.83381869	0.33231205	1.009735	0.000213	1.028768	0.000242	1.010328	0.000213
56372.85425264	0.34170726	1.007159	0.000213	1.025859	0.000242	1.007748	0.000213
56372.89512033	0.36049760	1.006776	0.000213	1.025335	0.000241	1.007358	0.000213
56372.91555418	0.36989277	1.006396	0.000213	1.025047	0.000241	1.006975	0.000213
56372.93598792	0.37928789	1.004898	0.000212	1.023353	0.000241	1.005473	0.000213
56372.95642187	0.38868311	1.006896	0.000212	1.025477	0.000241	1.007469	0.000212
56372.97685571	0.39807827	1.004357	0.000212	1.022801	0.000241	1.004925	0.000212
56372.99728946	0.40747340	1.002967	0.000212	1.021061	0.000241	1.003532	0.000212
56373.01772341	0.41686861	1.005742	0.000212	1.024297	0.000241	1.006305	0.000212
56373.03815725	0.42626378	0.999371	0.000212	1.017128	0.000241	0.999928	0.000212
56373.05859100	0.43565890	0.997434	0.000212	1.014941	0.000240	0.997986	0.000212
56373.07902495	0.44505412	0.990542	0.000212	1.007105	0.000240	0.991087	0.000212
56373.09945880	0.45444929	0.976812	0.000212	0.991565	0.000240	0.977348	0.000212
56373.11989275	0.46384451	0.973392	0.000211	0.987630	0.000240	0.973922	0.000212
56373.14032650	0.47323963	0.957126	0.000211	0.969083	0.000240	0.957645	0.000211
56373.16076035	0.48263480	0.953025	0.000212	0.964666	0.000240	0.953539	0.000212
56373.18119429	0.49203001	0.949990	0.000212	0.960973	0.000240	0.950500	0.000212
56373.20162804	-0.49857486	0.942215	0.000212	0.952341	0.000240	0.942717	0.000212
56373.22206189	-0.48917969	0.955213	0.000212	0.967127	0.000241	0.955720	0.000212
56373.24249584	-0.47978447	0.956459	0.000212	0.968426	0.000241	0.956964	0.000212
56373.26292960	-0.47038935	0.968468	0.000212	0.982285	0.000241	0.968976	0.000212
56373.28336355	-0.46099413	0.984570	0.000212	1.000376	0.000241	0.985084	0.000212
56373.30379740	-0.45159896	0.986236	0.000212	1.002353	0.000241	0.986748	0.000213
56373.32423125	-0.44220379	1.003937	0.000213	1.022548	0.000241	1.004455	0.000213
56373.34466510	-0.43280862	1.007616	0.000213	1.026588	0.000241	1.008133	0.000213
56373.36509895	-0.42341345	1.009856	0.000213	1.029171	0.000242	1.010372	0.000213
56373.38553281	-0.41401827	1.017038	0.000213	1.037354	0.000242	1.017554	0.000213
56373.40596666	-0.40462310	1.009091	0.000213	1.028268	0.000242	1.009601	0.000213
56373.42640051	-0.39522793	1.014622	0.000213	1.034575	0.000242	1.015132	0.000213
56373.44683436	-0.38583276	1.015455	0.000213	1.035625	0.000242	1.015962	0.000213
56373.46726822	-0.37643759	1.009205	0.000213	1.028374	0.000242	1.009706	0.000214
56373.48770207	-0.36704242	1.018649	0.000214	1.039240	0.000243	1.019152	0.000214
56373.50813603	-0.35764719	1.012781	0.000214	1.032514	0.000243	1.013278	0.000214
56373.52856978	-0.34825207	1.016169	0.000214	1.036276	0.000243	1.016665	0.000214
56373.54900364	-0.33885689	1.019864	0.000214	1.040684	0.000243	1.020359	0.000214
56373.56943759	-0.32946168	1.013558	0.000214	1.033280	0.000243	1.014048	0.000214
56373.58987135	-0.32006655	1.021955	0.000214	1.042870	0.000243	1.022446	0.000214
56373.61030520	-0.31067138	1.019112	0.000214	1.039793	0.000243	1.019599	0.000215
56373.63073916	-0.30127616	1.017477	0.000215	1.037723	0.000244	1.017960	0.000215
56373.65117291	-0.29188103	1.023465	0.000214	1.044648	0.000244	1.023949	0.000215
56373.67160687	-0.28248581	1.016461	0.000214	1.036661	0.000243	1.016939	0.000214
56373.69204073	-0.27309064	1.020814	0.000214	1.041539	0.000243	1.021291	0.000214
56373.71247448	-0.26369551	1.021757	0.000214	1.042691	0.000243	1.022232	0.000214
56373.73290844	-0.25430029	1.016963	0.000214	1.037183	0.000243	1.017433	0.000214
56373.75334230	-0.24490512	1.022236	0.000214	1.043192	0.000243	1.022706	0.000214
56373.77377606	-0.23550999	1.016035	0.000214	1.036165	0.000243	1.016499	0.000214
56373.79421002	-0.22611477	1.016489	0.000214	1.036689	0.000243	1.016951	0.000214
56373.81464387	-0.21671960	1.016975	0.000214	1.037105	0.000243	1.017434	0.000214
56373.83507773	-0.20732442	1.010559	0.000214	1.030009	0.000243	1.011013	0.000214
56373.85551159	-0.19792925	1.013024	0.000214	1.032665	0.000243	1.013477	0.000214
56373.87594545	-0.18853407	1.010581	0.000214	1.029884	0.000243	1.011030	0.000214
56373.89637941	-0.17913885	1.008411	0.000213	1.027564	0.000242	1.008856	0.000214
56373.91681317	-0.16974372	1.009126	0.000213	1.028137	0.000242	1.009569	0.000213
56373.93724703	-0.16034854	1.005729	0.000213	1.024377	0.000242	1.006168	0.000213
56373.95768099	-0.15095332	1.004643	0.000213	1.023162	0.000242	1.005079	0.000213
56373.97811485	-0.14155815	1.002078	0.000213	1.020120	0.000242	1.002511	0.000213
56373.99854862	-0.13216301	1.001661	0.000213	1.019793	0.000242	1.002091	0.000213
56374.01898258	-0.12276779	0.999402	0.000213	1.017091	0.000242	0.999829	0.000213
56374.03941644	-0.11337262	0.999763	0.000213	1.017554	0.000242	1.000188	0.000213
56374.05985030	-0.10397744	0.997193	0.000213	1.014693	0.000242	0.997614	0.000213
56374.08028416	-0.09458227	0.995460	0.000213	1.012643	0.000242	0.995877	0.000213
56374.10071803	-0.08518709	0.996926	0.000213	1.014326	0.000241	0.997343	0.000213
56374.12115189	-0.07579191	0.980691	0.000213	0.995903	0.000241	0.981098	0.000213
56374.14158575	-0.06639674	0.939740	0.000213	0.949332	0.000241	0.940128	0.000213
56374.16201962	-0.05700156	0.861666	0.000213	0.860600	0.000241	0.862020	0.000213
